,TOTAL MX
0,2248.28
1,568.4
2,226.2
4,0.0
5,0.0
8,0.01
9,0.0
10,5071.200000000001
11,185.0
12,556.8
13,2900.0
14,102.59
15,6199.92
16,5976.52
17,0.0
18,0.0
19,0.0
20,798.99
21,899.0
22,798.99
23,798.99
24,3146.0
25,296.96
26,327.12
28,580.0
29,0.0
30,0.0
31,4872.0
32,0.0
33,0.0
34,0.01
35,105.0
36,406.0
37,206.22
38,59.97
39,4461.6
40,696.0
41,599.26
43,173.1
44,236.57
45,1624.0
46,3509.87
48,417.6
49,1321.3799999999999
50,1300.39
52,2320.0
53,1956.92
55,0.0
56,234.54999999999998
57,99.0
58,112.33
59,0.0
60,0.0
62,4972.58
63,2379.1099999999997
64,2176.16
65,2176.16
66,1044.0
67,0.0
68,105.0
69,407.15999999999997
71,972.02
72,363.38
73,3219.0
74,991.8
75,378.45
76,2267.8
77,833.13
78,0.0
79,0.0
80,1086.8
81,0.0
82,2927.84
83,99.5
84,0.0
86,3224.2200000000003
87,0.0
88,0.0
89,0.0
90,0.0
91,123.02
92,4176.0
93,4640.0
94,1218.0
95,178.18
96,0.0
97,107.31
98,351.48
99,0.0
100,0.0
101,0.0
102,0.0
103,3446.33
106,0.0
107,97.26
108,522.0
109,309.02
110,2984.1
111,943.4399999999999
112,84.79
113,0.0
114,574.2
115,-696.0
116,0.0
117,1390.0
120,2668.0
121,264.75
122,0.0
125,0.0
126,0.0
127,336.12
128,2046.24
129,6182.01
130,398.99
131,319.29
132,140.0
133,0.0
134,0.0
135,0.0
138,1396.8400000000001
139,250.0
140,0.0
141,1300.23
142,900.03
143,1418.91
145,1531.2
146,0.0
148,3596.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,365.0
155,0.0
156,400.0
157,847.12
159,0.0
160,0.0
161,0.0
162,168.0
163,600.0
164,500.0
165,100.0
166,100.0
167,277.7
168,3790.88
169,4231.68
170,3044.49
172,2151.8
173,7145.6
174,2958.0
175,185.6
176,793.44
177,793.44
180,112.83
181,32.18
182,2273.74
183,0.0
184,0.0
185,2258.52
187,7292.34
189,1710.42
190,1997.61
191,6667.34
193,5684.0
194,2335.63
195,87.99
196,0.0
197,0.0
198,0.0
199,0.0
201,528.96
202,0.0
203,0.0
206,140.0
207,843.0
208,269.0
209,54.17
210,3962.61
211,200.0
212,186.76
213,5982.12
214,125.0
215,2610.0
216,0.0
217,398.99
218,125.0
219,0.0
220,1544.08
221,1067.99
222,2289.01
223,435.0
225,0.0
226,0.0
227,99.9
228,0.0
229,733.82
230,2630.88
231,0.0
232,1183.2
233,794.17
234,1117.38
235,2084.0
236,0.0
237,991.8
238,532.64
239,3596.0
240,22.0
241,22.0
242,165.95
243,305.34000000000003
244,0.0
245,3549.6
246,0.0
247,324.0
248,0.0
